Individual_Pval,FDR,Total_Nodes,Positive_Nodes,Negative_Nodes,Total_Edges,Positive_Edges,Negative_Edges,Pos_to_Neg,Density,Mean_Corr_Coeff
0.01,0.01,13,,,8,8,0,,0.00024063045178367322,0.8389438002802722
0.01,0.05,13,,,8,8,0,,0.00024063045178367322,0.8389438002802722
0.01,0.1,13,,,8,8,0,,0.00024063045178367322,0.8389438002802722
0.01,0.15,13,,,8,8,0,,0.00024063045178367322,0.8389438002802722
0.01,0.2,13,,,8,8,0,,0.00024063045178367322,0.8389438002802722
0.01,0.25,13,,,8,8,0,,0.00024063045178367322,0.8389438002802722
0.01,0.3,13,,,8,8,0,,0.00024063045178367322,0.8389438002802722
0.01,1.0,13,,,8,8,0,,0.00024063045178367322,0.8389438002802722
0.05,0.01,42,,,24,24,0,,0.0007218913553510197,0.8112393973524349
0.05,0.05,99,,,80,73,7,10.428571428571429,0.0024063045178367324,0.6156368453241287
0.05,0.1,106,,,88,80,8,10.0,0.0026469349696204053,0.6038825518626502
0.05,0.15,106,,,88,80,8,10.0,0.0026469349696204053,0.6038825518626502
0.05,0.2,106,,,88,80,8,10.0,0.0026469349696204053,0.6038825518626502
0.05,0.25,106,,,88,80,8,10.0,0.0026469349696204053,0.6038825518626502
0.05,0.3,106,,,88,80,8,10.0,0.0026469349696204053,0.6038825518626502
0.05,1.0,106,,,88,80,8,10.0,0.0026469349696204053,0.6038825518626502
0.1,0.01,55,,,34,34,0,,0.0010226794200806112,0.7938889240550024
0.1,0.05,153,,,159,143,16,8.9375,0.004782530229200505,0.5734765587930081
0.1,0.1,233,,,278,239,39,6.128205128205129,0.008361908199482645,0.48700127139793825
0.1,0.15,240,,,287,245,42,5.833333333333333,0.008632617457739277,0.47731291905260337
0.1,0.2,240,,,287,245,42,5.833333333333333,0.008632617457739277,0.47731291905260337
0.1,0.25,240,,,287,245,42,5.833333333333333,0.008632617457739277,0.47731291905260337
0.1,0.3,240,,,287,245,42,5.833333333333333,0.008632617457739277,0.47731291905260337
0.1,1.0,240,,,287,245,42,5.833333333333333,0.008632617457739277,0.47731291905260337
0.15,0.01,59,,,37,37,0,,0.0011129158394994887,0.7885430450440815
0.15,0.05,188,,,220,202,18,11.222222222222221,0.006617337424051014,0.5843177879205578
0.15,0.1,333,,,511,445,66,6.742424242424242,0.015370270107682127,0.47866526998600173
0.15,0.15,383,,,675,564,111,5.081081081081081,0.020303194369247428,0.42024358186301913
0.15,0.2,384,,,676,564,112,5.035714285714286,0.02033327317572039,0.4189416905282444
0.15,0.25,384,,,676,564,112,5.035714285714286,0.02033327317572039,0.4189416905282444
0.15,0.3,384,,,676,564,112,5.035714285714286,0.02033327317572039,0.4189416905282444
0.15,1.0,384,,,676,564,112,5.035714285714286,0.02033327317572039,0.4189416905282444
0.2,0.01,60,,,44,44,0,,0.0013234674848102027,0.7801662771579964
0.2,0.05,199,,,255,235,20,11.75,0.007670095650604584,0.5842641954407737
0.2,0.1,372,,,661,559,102,5.480392156862745,0.019882091078626,0.4421322994636139
0.2,0.15,445,,,1010,802,208,3.855769230769231,0.030379594537688744,0.360339444662567
0.2,0.2,452,,,1054,829,225,3.6844444444444444,0.031703062022498944,0.34992920535677197
0.2,0.25,452,,,1054,829,225,3.6844444444444444,0.031703062022498944,0.34992920535677197
0.2,0.3,452,,,1054,829,225,3.6844444444444444,0.031703062022498944,0.34992920535677197
0.2,1.0,452,,,1054,829,225,3.6844444444444444,0.031703062022498944,0.34992920535677197
0.25,0.01,63,,,48,48,0,,0.0014437827107020393,0.7734214350916141
0.25,0.05,211,,,284,261,23,11.347826086956522,0.008542381038320399,0.5751410792897707
0.25,0.1,393,,,802,675,127,5.31496062992126,0.02412320279131324,0.4306589477717858
0.25,0.15,468,,,1393,1101,292,3.7705479452054793,0.0418997774168321,0.34504833339838864
0.25,0.2,487,,,1616,1240,376,3.297872340425532,0.04860735126030199,0.31350607604152164
0.25,0.25,488,,,1617,1241,376,3.300531914893617,0.04863743006677495,0.3135567019869246
0.25,0.3,488,,,1617,1241,376,3.300531914893617,0.04863743006677495,0.3135567019869246
0.25,1.0,488,,,1617,1241,376,3.300531914893617,0.04863743006677495,0.3135567019869246
0.3,0.01,64,,,50,49,1,49.0,0.0015039403236479577,0.745388972998912
0.3,0.05,220,,,313,288,25,11.52,0.009414666426036215,0.5694883087303102
0.3,0.1,408,,,934,776,158,4.9113924050632916,0.02809360524574385,0.41166081998832443
0.3,0.15,485,,,1756,1371,385,3.5610389610389612,0.052818384166516276,0.3268014770665658
0.3,0.2,502,,,2235,1681,554,3.0342960288808665,0.0672261324670637,0.2860376483075396
0.3,0.25,505,,,2297,1724,573,3.0087260034904015,0.06909101846838718,0.28261319393778916
0.3,0.3,505,,,2297,1724,573,3.0087260034904015,0.06909101846838718,0.28261319393778916
0.3,1.0,505,,,2297,1724,573,3.0087260034904015,0.06909101846838718,0.28261319393778916
1.0,0.01,98,,,78,75,3,25.0,0.002346146904890814,0.6526385182854244
1.0,0.05,274,,,473,428,45,9.511111111111111,0.01422727546170968,0.5205984544204456
1.0,0.1,461,,,1682,1407,275,5.116363636363636,0.050592552487517296,0.38612851591613867
1.0,0.15,511,,,4424,3400,1024,3.3203125,0.1330686398363713,0.27914594474408316
1.0,0.2,514,,,8661,6223,2438,2.552502050861362,0.26051254286229925,0.21094600275908354
1.0,0.25,514,,,13605,9285,4320,2.1493055555555554,0.40922216206460926,0.1652268010993573
1.0,0.3,514,,,18066,11854,6212,1.9082421120412105,0.54340371774048,0.13639026591883593
1.0,1.0,514,,,33246,19935,13311,1.49763353617309,1.0,0.08268641528975469
